compression_method,compression_ratio,noise_level,classifier,accuracy,precision,recall,f1_score,train_time,test_time,feature_dim_compressed,compression_rate,timestamp
chaotic,0.5,0.0,random_forest,0.155,0.1548611727026361,0.155,0.15177027054804035,0.1421520709991455,0.025152921676635742,120,50.0,2025-12-17 10:21:35
chaotic,0.75,0.0,random_forest,0.155,0.1548611727026361,0.155,0.15177027054804035,0.13468384742736816,0.03601384162902832,180,25.0,2025-12-17 10:21:45
chaotic,1.0,0.0,random_forest,0.485,0.5016366454298589,0.485,0.46496368228818596,0.1290278434753418,0.03571939468383789,240,0.0,2025-12-17 10:21:55
none,0.5,0.0,random_forest,0.485,0.5016366454298589,0.485,0.46496368228818596,0.1333472728729248,0.025360822677612305,240,50.0,2025-12-17 10:22:05
none,0.75,0.0,random_forest,0.485,0.5016366454298589,0.485,0.46496368228818596,0.13522815704345703,0.023895978927612305,240,25.0,2025-12-17 10:22:15
none,1.0,0.0,random_forest,0.485,0.5016366454298589,0.485,0.46496368228818596,0.12101054191589355,0.023949623107910156,240,0.0,2025-12-17 10:22:25
