method,ratio,reconstruction_error
bernoulli,0.25,516827.1049506245
bernoulli,0.5,355570.19588908873
bernoulli,0.75,191777.52033815632
dwt,0.25,700969.8969379287
dwt,0.5,701356.2587011466
dwt,0.75,934493.7862984759
hybrid,0.25,486247.6648370038
hybrid,0.5,310596.6621897804
hybrid,0.75,132579.15698842815
