compression_ratio,classifier,accuracy,precision,recall,f1_score,train_time,test_time,train_samples,test_samples,feature_dim_original,feature_dim_compressed,compression_rate,timestamp
0.25,random_forest,0.4379915305505142,0.44012959369882976,0.4379915305505142,0.4316291171881212,0.20638275146484375,0.035468101501464844,4612,1653,25,6,75.0,2025-12-17 10:57:10
0.25,svm,0.44283121597096187,0.43742396870716405,0.44283121597096187,0.433098427159954,3.4447529315948486,0.8416500091552734,4612,1653,25,6,75.0,2025-12-17 10:57:14
0.5,random_forest,0.543859649122807,0.5700773500295052,0.543859649122807,0.5435863833888465,0.2568695545196533,0.036930084228515625,4612,1653,25,12,50.0,2025-12-17 11:12:08
0.5,svm,0.5825771324863884,0.5923881731442334,0.5825771324863884,0.5794267023711347,3.3021366596221924,0.8138425350189209,4612,1653,25,12,50.0,2025-12-17 11:12:12
0.75,random_forest,0.5172413793103449,0.5321122134658313,0.5172413793103449,0.512222571232041,0.31278300285339355,0.036338090896606445,4612,1653,25,18,25.0,2025-12-17 11:27:12
0.75,svm,0.5837870538415003,0.5952890757501151,0.5837870538415003,0.5841009249018111,3.929884672164917,0.9338343143463135,4612,1653,25,18,25.0,2025-12-17 11:27:17
1.0,random_forest,0.5765275257108288,0.5910382475390143,0.5765275257108288,0.5742227158601038,0.37202930450439453,0.034471988677978516,4612,1653,25,25,0.0,2025-12-17 11:42:04
1.0,svm,0.6055656382335148,0.6115530754849833,0.6055656382335148,0.6023010846181639,3.653486967086792,0.8254506587982178,4612,1653,25,25,0.0,2025-12-17 11:42:08
